08-18-2026 16:28:57 RAM 13214/15643MB (lfb 2x4MB) SWAP 1173/7821MB (cached 2MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,1%@729,1%@729] GR3D_FREQ 99% cv0@58.187C cpu@60C soc2@57.937C soc0@59.406C cv1@57.843C gpu@61.562C tj@61.562C soc1@60.875C cv2@57C VDD_IN 13873mW/9234mW VDD_CPU_GPU_CV 7930mW/4086mW VDD_SOC 2099mW/1798mW
08-18-2026 16:28:58 RAM 13240/15643MB (lfb 2x4MB) SWAP 1173/7821MB (cached 2MB) CPU [2%@729,1%@729,0%@729,0%@729,0%@729,0%@729,11%@729,0%@729] GR3D_FREQ 99% cv0@58.312C cpu@59.937C soc2@57.843C soc0@59.375C cv1@57.875C gpu@61.437C tj@61.437C soc1@60.906C cv2@57.218C VDD_IN 13266mW/9389mW VDD_CPU_GPU_CV 7407mW/4214mW VDD_SOC 2062mW/1808mW
08-18-2026 16:28:59 RAM 13240/15643MB (lfb 2x4MB) SWAP 1173/7821MB (cached 2MB) CPU [1%@729,0%@729,0%@729,0%@729,2%@729,0%@729,0%@729,1%@729] GR3D_FREQ 99% cv0@58.25C cpu@60.156C soc2@57.937C soc0@59.5C cv1@57.937C gpu@62.031C tj@62.031C soc1@61.031C cv2@57.187C VDD_IN 13752mW/9551mW VDD_CPU_GPU_CV 7849mW/4348mW VDD_SOC 2099mW/1819mW
08-18-2026 16:29:00 RAM 13240/15643MB (lfb 2x4MB) SWAP 1173/7821MB (cached 2MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,1%@729] GR3D_FREQ 99% cv0@58.406C cpu@60.312C soc2@58.187C soc0@59.687C cv1@57.906C gpu@61.781C tj@61.781C soc1@61.125C cv2@57.312C VDD_IN 13711mW/9699mW VDD_CPU_GPU_CV 7849mW/4473mW VDD_SOC 2059mW/1827mW
08-18-2026 16:29:01 RAM 13240/15643MB (lfb 2x4MB) SWAP 1173/7821MB (cached 2MB) CPU [2%@729,0%@729,1%@729,0%@729,0%@729,0%@729,0%@729,1%@729] GR3D_FREQ 99% cv0@58.531C cpu@60.25C soc2@58.218C soc0@59.968C cv1@58.093C gpu@61.812C tj@61.812C soc1@61.062C cv2@57.531C VDD_IN 13792mW/9841mW VDD_CPU_GPU_CV 7917mW/4592mW VDD_SOC 2059mW/1835mW
08-18-2026 16:29:02 RAM 13240/15643MB (lfb 2x4MB) SWAP 1173/7821MB (cached 2MB) CPU [0%@729,0%@729,0%@729,0%@729,1%@729,2%@729,0%@729,2%@729] GR3D_FREQ 99% cv0@58.531C cpu@60.312C soc2@58.281C soc0@59.843C cv1@58.156C gpu@62.093C tj@62.093C soc1@61.312C cv2@57.437C VDD_IN 13752mW/9971mW VDD_CPU_GPU_CV 7890mW/4702mW VDD_SOC 2099mW/1844mW
08-18-2026 16:29:03 RAM 13242/15643MB (lfb 2x4MB) SWAP 1173/7821MB (cached 2MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,3%@729] GR3D_FREQ 99% cv0@58.687C cpu@60.656C soc2@58.343C soc0@60.062C cv1@58.312C gpu@62.375C tj@62C soc1@61.375C cv2@57.625C VDD_IN 13752mW/10093mW VDD_CPU_GPU_CV 7890mW/4805mW VDD_SOC 2059mW/1851mW
08-18-2026 16:29:04 RAM 13242/15643MB (lfb 2x4MB) SWAP 1173/7821MB (cached 2MB) CPU [2%@729,0%@729,1%@729,0%@729,3%@729,1%@729,0%@729,0%@729] GR3D_FREQ 99% cv0@58.875C cpu@60.531C soc2@58.468C soc0@60.218C cv1@58.25C gpu@62.031C tj@62.031C soc1@61.531C cv2@57.75C VDD_IN 13711mW/10206mW VDD_CPU_GPU_CV 7849mW/4900mW VDD_SOC 2059mW/1858mW
08-18-2026 16:29:05 RAM 13242/15643MB (lfb 2x4MB) SWAP 1173/7821MB (cached 2MB) CPU [1%@729,0%@729,0%@729,0%@729,1%@729,1%@729,0%@729,0%@729] GR3D_FREQ 99% cv0@58.843C cpu@60.593C soc2@58.5C soc0@60.093C cv1@58.468C gpu@62.5C tj@62.5C soc1@61.437C cv2@57.875C VDD_IN 13752mW/10313mW VDD_CPU_GPU_CV 7890mW/4991mW VDD_SOC 2059mW/1864mW
08-18-2026 16:29:06 RAM 13242/15643MB (lfb 2x4MB) SWAP 1173/7821MB (cached 2MB) CPU [0%@729,0%@729,0%@729,0%@729,2%@729,1%@729,2%@729,0%@729] GR3D_FREQ 99% cv0@58.968C cpu@60.656C soc2@58.593C soc0@60.187C cv1@58.625C gpu@62.531C tj@62.531C soc1@61.593C cv2@57.75C VDD_IN 13914mW/10419mW VDD_CPU_GPU_CV 7958mW/5078mW VDD_SOC 2099mW/1871mW
08-18-2026 16:29:07 RAM 13242/15643MB (lfb 2x4MB) SWAP 1173/7821MB (cached 2MB) CPU [0%@729,0%@729,0%@729,0%@729,2%@729,1%@729,0%@729,0%@729] GR3D_FREQ 99% cv0@59.125C cpu@61.031C soc2@58.687C soc0@60.468C cv1@58.562C gpu@62.437C tj@62.437C soc1@61.593C cv2@57.937C VDD_IN 13752mW/10515mW VDD_CPU_GPU_CV 7890mW/5158mW VDD_SOC 2099mW/1877mW
