08-18-2026 16:28:16 RAM 12364/15643MB (lfb 1x4MB) SWAP 1173/7821MB (cached 2MB) CPU [2%@729,1%@729,9%@729,1%@729,0%@729,0%@729,2%@729,1%@729] GR3D_FREQ 97% cv0@57.031C cpu@59.531C soc2@56.531C soc0@58.25C cv1@56.625C gpu@59.218C tj@59.812C soc1@59.812C cv2@55.781C VDD_IN 14197mW/10320mW VDD_CPU_GPU_CV 6239mW/4570mW VDD_SOC 3674mW/2090mW
08-18-2026 16:28:17 RAM 12365/15643MB (lfb 1x4MB) SWAP 1173/7821MB (cached 2MB) CPU [5%@729,1%@729,2%@729,0%@729,1%@729,0%@729,1%@729,0%@729] GR3D_FREQ 96% cv0@57.031C cpu@59.343C soc2@56.656C soc0@58.281C cv1@56.843C gpu@59.468C tj@59.812C soc1@59.812C cv2@56C VDD_IN 14116mW/10413mW VDD_CPU_GPU_CV 6159mW/4609mW VDD_SOC 3674mW/2129mW
08-18-2026 16:28:18 RAM 12365/15643MB (lfb 1x4MB) SWAP 1173/7821MB (cached 2MB) CPU [0%@729,0%@729,1%@729,0%@729,1%@729,0%@729,0%@729,0%@729] GR3D_FREQ 99% cv0@57.093C cpu@59.5C soc2@56.781C soc0@58.312C cv1@57C gpu@59.468C tj@59.875C soc1@59.875C cv2@56C VDD_IN 14075mW/10500mW VDD_CPU_GPU_CV 6118mW/4645mW VDD_SOC 3674mW/2166mW
08-18-2026 16:28:19 RAM 12365/15643MB (lfb 1x4MB) SWAP 1173/7821MB (cached 2MB) CPU [0%@729,0%@729,2%@729,0%@729,1%@729,0%@729,0%@729,0%@729] GR3D_FREQ 99% cv0@57.375C cpu@59.687C soc2@57C soc0@58.593C cv1@56.875C gpu@59.5C tj@60.031C soc1@60.031C cv2@56.187C VDD_IN 14035mW/10582mW VDD_CPU_GPU_CV 6078mW/4678mW VDD_SOC 3674mW/2201mW
08-18-2026 16:28:20 RAM 12365/15643MB (lfb 1x4MB) SWAP 1173/7821MB (cached 2MB) CPU [1%@729,0%@729,1%@729,0%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 99% cv0@57.531C cpu@60.125C soc2@56.968C soc0@58.75C cv1@57.062C gpu@59.812C tj@60.125C soc1@60.031C cv2@56.375C VDD_IN 14035mW/10661mW VDD_CPU_GPU_CV 6118mW/4711mW VDD_SOC 3674mW/2234mW
08-18-2026 16:28:21 RAM 12365/15643MB (lfb 1x4MB) SWAP 1173/7821MB (cached 2MB) CPU [3%@729,1%@729,2%@729,0%@729,0%@729,3%@729,0%@729,0%@729] GR3D_FREQ 99% cv0@57.468C cpu@59.906C soc2@57.093C soc0@58.687C cv1@57.218C gpu@59.781C tj@60.218C soc1@60.218C cv2@56.468C VDD_IN 14075mW/10737mW VDD_CPU_GPU_CV 6159mW/4743mW VDD_SOC 3674mW/2266mW
08-18-2026 16:28:22 RAM 12365/15643MB (lfb 1x4MB) SWAP 1173/7821MB (cached 2MB) CPU [1%@729,1%@729,0%@729,0%@729,0%@729,1%@729,0%@729,0%@729] GR3D_FREQ 97% cv0@57.625C cpu@60.031C soc2@57.25C soc0@58.875C cv1@57.343C gpu@59.687C tj@60.312C soc1@60.312C cv2@56.437C VDD_IN 14075mW/10809mW VDD_CPU_GPU_CV 6078mW/4772mW VDD_SOC 3674mW/2297mW
08-18-2026 16:28:23 RAM 12365/15643MB (lfb 1x4MB) SWAP 1173/7821MB (cached 2MB) CPU [0%@729,0%@729,2%@729,0%@729,0%@729,0%@729,1%@729,0%@729] GR3D_FREQ 97% cv0@57.812C cpu@60.281C soc2@57.281C soc0@59.062C cv1@57.312C gpu@59.968C tj@60.531C soc1@60.531C cv2@56.562C VDD_IN 14075mW/10879mW VDD_CPU_GPU_CV 6118mW/4800mW VDD_SOC 3674mW/2326mW
08-18-2026 16:28:24 RAM 12364/15643MB (lfb 1x4MB) SWAP 1173/7821MB (cached 2MB) CPU [4%@729,1%@729,6%@729,1%@729,0%@729,1%@729,1%@729,1%@729] GR3D_FREQ 97% cv0@58.062C cpu@60.125C soc2@57.468C soc0@58.968C cv1@57.468C gpu@60.187C tj@60.531C soc1@60.531C cv2@56.781C VDD_IN 14156mW/10947mW VDD_CPU_GPU_CV 6159mW/4829mW VDD_SOC 3674mW/2354mW
08-18-2026 16:28:25 RAM 12364/15643MB (lfb 1x4MB) SWAP 1173/7821MB (cached 2MB) CPU [0%@729,0%@729,2%@729,0%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 99% cv0@57.906C cpu@60.281C soc2@57.531C soc0@59.093C cv1@57.718C gpu@60.343C tj@60.562C soc1@60.562C cv2@56.781C VDD_IN 14116mW/11012mW VDD_CPU_GPU_CV 6159mW/4856mW VDD_SOC 3674mW/2381mW
08-18-2026 16:28:26 RAM 12364/15643MB (lfb 1x4MB) SWAP 1173/7821MB (cached 2MB) CPU [21%@1984,1%@1984,1%@1984,0%@1984,2%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cv0@58.375C cpu@60.375C soc2@57.875C soc0@59.218C cv1@57.75C gpu@57.937C tj@60.781C soc1@60.781C cv2@57C VDD_IN 11829mW/11028mW VDD_CPU_GPU_CV 4838mW/4856mW VDD_SOC 3114mW/2396mW
